bundesland,name_institution,traegerschaft_hochschulkompass,ort,name_ministerium,wikidate_id,einrichtungsart,oa_webseite_institution,oa_webseite,oa_beauftragte_name,oa_beauftragte,ansprechperson_oa,oa_policy,oa_leitlinie,publikationsfonds,publikationsfonds_finanizerung,zs_publikationsfonds,mono_publikationsfonds,repositorium_url,repositorium,oa_verlag,ojs_standort,berliner_erklaerung,oa_2020,dora_institution
Baden-Württemberg,Staatliche Akademie der Bildenden Künste Stuttgart,öffentlich-rechtlich,Stuttgart,,Q2324294,Hochschule,,,,,,False,,False,,,,,,False,False,False,False,False
Baden-Württemberg,Duale Hochschule Baden-Württemberg Stuttgart,öffentlich-rechtlich,Stuttgart,Duale Hochschule Baden-Württemberg Stuttgart,Q1262612,Hochschule,www.dhbw-stuttgart.de/service/bibliothek/wissenschaftliches-publizieren/,True,,,Martina Berenz,True,,True,MWK-Kofinanziert,True,False,,,False,False,False,False,False
Baden-Württemberg,Duale Hochschule Baden-Württemberg,öffentlich-rechtlich,Stuttgart,Duale Hochschule Baden-Württemberg,Q1262605,Hochschule,www.dhbw-stuttgart.de/service/bibliothek/wissenschaftliches-publizieren/,True,,,Martina Berenz,True,,True,MWK-Kofinanziert,True,False,,,False,False,False,False,False
Baden-Württemberg,Hochschule der Bundesagentur für Arbeit Mannheim,öffentlich-rechtlich,Mannheim,Hochschule der Bundesagentur für Arbeit Mannheim,Q1622148,Hochschule,,,,,,False,,False,,,,,,False,False,False,False,False
Baden-Württemberg,Hochschule der Medien Stuttgart,öffentlich-rechtlich,Stuttgart,Hochschule der Medien Stuttgart,Q1233544,Hochschule,,,,,,False,,False,,,,hdms.bsz-bw.de/home,True,False,False,False,False,False
Baden-Württemberg,Staatliche Hochschule für Gestaltung Karlsruhe,öffentlich-rechtlich,Karlsruhe,"Staatliche Hochschule für Technik, Wirtschaft und Gestaltung Karlsruhe",Q896116,Hochschule,,,,,,False,,False,,,,opus.htwg-konstanz.de/home,True,False,False,False,False,False
Baden-Württemberg,Hochschule für Musik Karlsruhe,öffentlich-rechtlich,Karlsruhe,Hochschule für Musik Karlsruhe,Q448324,Hochschule,,,,,,False,,False,,,,,,False,False,False,False,False
Baden-Württemberg,Hochschule für Polizei Baden-Württemberg,öffentlich-rechtlich,Villingen-Schwenningen,Hochschule für Polizei Baden-Württemberg,Q1622214,Hochschule,,,,,,False,,False,,,,,,False,False,False,False,False
Baden-Württemberg,Hochschule für Technik Stuttgart,öffentlich-rechtlich,Stuttgart,Hochschule für Technik Stuttgart,Q1540704,Hochschule,,,,,,False,,False,,,,,,False,False,False,False,False
Baden-Württemberg,Hochschule für Wirtschaft und Umwelt Nürtingen-Geislingen,öffentlich-rechtlich,Nürtingen,Hochschule für Wirtschaft und Umwelt Nürtingen-Geislingen,Q1622229,Hochschule,www.hfwu.de/hochschule-fuer-wirtschaft-und-umwelt-nuertingen-geislingen/elektronisches-publizieren/,True,,,Elena Kubein,True,,False,,,,hfwu.bsz-bw.de/home,True,False,False,False,False,False
Baden-Württemberg,Staatliche Hochschule für Musik und Darstellende Kunst Stuttgart,öffentlich-rechtlich,Stuttgart,Staatliche Hochschule für Musik und Darstellende Kunst Stuttgart,Q568692,Hochschule,,,,,,False,,False,,,,,,False,False,False,False,False
Baden-Württemberg,Hochschule Biberach,öffentlich-rechtlich,Biberach,Hochschule Biberach,Q1622079,Hochschule,,,,,,False,,False,,,,,,False,False,False,False,False
Baden-Württemberg,Hochschule Aalen,öffentlich-rechtlich,Aalen,Hochschule Aalen,Q1622071,Hochschule,www.hs-aalen.de/de/pages/bibliothek_wissenschaftliches-arbeiten-und-publizieren,True,,,,True,,True,MWK-Kofinanziert,True,False,opus-htw-aalen.bsz-bw.de/home,True,False,False,False,False,False
Baden-Württemberg,Hochschule Albstadt-Sigmaringen,öffentlich-rechtlich,Sigmaringen,Hochschule Albstadt-Sigmaringen,Q1441039,Hochschule,,,,,,False,,False,,,,,,False,False,False,False,False
Baden-Württemberg,Hochschule Esslingen,öffentlich-rechtlich,Esslingen,Hochschule Esslingen,Q1622101,Hochschule,,,,,,True,,False,,,,hses.bsz-bw.de/home,True,False,False,False,False,False
Baden-Württemberg,Hochschule Furtwangen,öffentlich-rechtlich,Furtwangen,Hochschule Furtwangen,Q529572,Hochschule,,,,,,False,,False,,,,opus.hs-furtwangen.de/home,True,False,False,False,False,False
Baden-Württemberg,Hochschule Heilbronn,öffentlich-rechtlich,Heilbronn,Hochschule Heilbronn,Q327693,Hochschule,,,,,,False,,False,,,,http://opus-hshn.bsz-bw.de/,True,False,False,False,False,False
Baden-Württemberg,Hochschule Karlsruhe - Technik und Wirtschaft,öffentlich-rechtlich,Karlsruhe,Hochschule Karlsruhe - Technik und Wirtschaft,Q761708,Hochschule,www.hs-karlsruhe.de/hochschule/einrichtungen/fachbibliothek/open-access-publizieren,True,,,Team Information,False,,True,MWK-Kofinanziert,True,False,,,False,False,False,False,False
Baden-Württemberg,Hochschule für öffentliche Verwaltung Kehl,öffentlich-rechtlich,Kehl,Hochschule für öffentliche Verwaltung Kehl,Q1622113,Hochschule,,,,,,False,,False,,,,,,False,False,False,False,False
Baden-Württemberg,Hochschule für öffentliche Verwaltung und Finanzen Ludwigsburg,öffentlich-rechtlich,Ludwigsburg,Hochschule für öffentliche Verwaltung und Finanzen Ludwigsburg,Q1604537,Hochschule,,,,,,False,,False,,,,,,False,False,False,False,False
Baden-Württemberg,Hochschule Mannheim,öffentlich-rechtlich,Mannheim,Hochschule Mannheim,Q321369,Hochschule,www.bib.hs-mannheim.de/publizieren-open-access.html,True,,,,True,,True,MWK-Kofinanziert,True,False,opus.bib.hs-mannheim.de/home,True,False,False,False,False,False
Baden-Württemberg,Hochschule Offenburg,öffentlich-rechtlich,Offenburg,"Hochschule für Technik, Wirtschaft und Medien Offenburg",Q1622133,Hochschule,,,,,Petra Möhringer,True,,False,,,,http://opus.hs-offenburg.de,True,False,False,False,False,False
Baden-Württemberg,"Hochschule Pforzheim - Gestaltung, Technik, Wirtschaft und Recht",öffentlich-rechtlich,Pforzheim,"Hochschule Pforzheim - Gestaltung, Technik, Wirtschaft und Recht",Q884358,Hochschule,,,,,,False,,False,,,,,,False,False,False,False,False
